"","well","amount_covid","amount_flu_a","amount_flu_b","amount_rsv"
"323","K23","900","725","0","0"
"324","K24","975","0","500","0"
"325","L13","0","1675","0","425"
"326","L14","0","0","0","0"
"327","L15","900","475","525","625"
"328","L16","0","0","1475","0"
"329","L17","0","0","0","775"
"330","L18","1000","725","0","0"
"331","L19","975","0","0","0"
"332","L20","0","0","150","1475"
"333","L21","100","0","1325","825"
"334","L22","0","0","150","1425"
"335","L23","500","725","25","775"
"336","L24","0","0","1325","0"
"337","M13","1100","0","0","1250"
"338","M14","300","625","500","50"
"339","M15","975","0","800","0"
"340","M16","0","325","0","0"
"341","M17","100","1200","0","0"
"342","M18","0","0","675","625"
"343","M19","300","475","0","0"
"344","M20","0","0","1325","625"
"345","M21","975","0","675","875"
"346","M22","0","0","25","425"
"347","M23","0","625","0","0"
"348","M24","900","0","0","775"
"349","N13","600","1050","500","0"
"350","N14","0","725","150","1425"
"351","N15","200","0","800","0"
"352","N16","0","0","1325","825"
"353","N17","0","0","0","825"
"354","N18","500","1200","800","0"
"355","N19","0","0","0","1050"
"356","N20","200","625","0","0"
"357","N21","400","0","850","1425"
"358","N22","0","325","0","0"
"359","N23","900","725","0","0"
"360","N24","975","0","500","0"
"361","O13",NA,NA,NA,NA
"362","O14",NA,NA,NA,NA
"363","O15",NA,NA,NA,NA
"364","O16",NA,NA,NA,NA
"365","O17",NA,NA,NA,NA
"366","O18",NA,NA,NA,NA
"367","O19",NA,NA,NA,NA
"368","O20",NA,NA,NA,NA
"369","O21",NA,NA,NA,NA
"370","O22",NA,NA,NA,NA
"371","O23",NA,NA,NA,NA
"372","O24",NA,NA,NA,NA
"373","P13",NA,NA,NA,NA
"374","P14",NA,NA,NA,NA
"375","P15",NA,NA,NA,NA
"376","P16",NA,NA,NA,NA
"377","P17",NA,NA,NA,NA
"378","P18",NA,NA,NA,NA
"379","P19",NA,NA,NA,NA
"380","P20",NA,NA,NA,NA
"381","P21",NA,NA,NA,NA
"382","P22",NA,NA,NA,NA
"383","P23",NA,NA,NA,NA
"384","P24",NA,NA,NA,NA
