Well,ct_sc2,ct_flua,ct_flub,ct_rsv
M15,29.56,30.24,No Ct,No Ct
M16,27.2,No Ct,No Ct,No Ct
M17,No Ct,28.94,No Ct,No Ct
M18,32.22,32.52,29.96,No Ct
M19,No Ct,34.27,28.19,28.68
M2,No Ct,No Ct,No Ct,No Ct
M20,No Ct,No Ct,No Ct,No Ct
M21,No Ct,No Ct,27.57,No Ct
M22,No Ct,No Ct,No Ct,25.32
M23,31.23,29.26,No Ct,No Ct
M24,No Ct,29.05,No Ct,No Ct
M3,29.74,30.1,No Ct,No Ct
M4,27.19,No Ct,No Ct,No Ct
M5,No Ct,28.84,No Ct,No Ct
M6,32.1,32.43,30.22,No Ct
M7,No Ct,34.9,28.38,28.48
M8,No Ct,No Ct,No Ct,No Ct
M9,No Ct,No Ct,27.91,No Ct
N1,27.18,No Ct,No Ct,No Ct
N10,27.04,No Ct,28.52,No Ct
N11,29.23,No Ct,No Ct,28.13
N12,No Ct,No Ct,29.39,No Ct
N13,26.99,No Ct,No Ct,No Ct
N14,No Ct,No Ct,28.82,29.48
N15,27.46,29.14,30.47,35.58
N16,30.44,No Ct,No Ct,No Ct
N17,No Ct,31.08,No Ct,No Ct
N18,No Ct,No Ct,No Ct,No Ct
N19,No Ct,28.39,28.87,No Ct
N2,No Ct,No Ct,28.84,29.86
N20,No Ct,No Ct,28,25.75
N21,27.28,28.87,No Ct,31.7
N22,26.75,No Ct,28.13,No Ct
N23,29.64,No Ct,No Ct,28.17
N24,No Ct,No Ct,30.09,No Ct
N3,27.6,29.18,30.93,35.79
N4,31.33,No Ct,No Ct,No Ct
N5,No Ct,31.54,No Ct,No Ct
N6,No Ct,No Ct,No Ct,No Ct
N7,No Ct,28.7,29.16,No Ct
N8,No Ct,No Ct,27.64,25.72
N9,27.3,28.58,No Ct,31.42
O1,28.5,32.43,29.18,26.5
O10,28.62,33.09,29.1,26.08
O11,28.04,32.81,29.11,26.28
O12,28.04,32.87,28.95,26.37
O13,28.27,32.57,29.1,26.58
O14,28.34,32.49,29.19,26.72
O15,28.21,32.37,28.99,26.41
O16,27.71,32,28.88,26.21
O17,28.1,32.33,29.14,26.38
O18,28.39,32.7,28.76,26.25
O19,26.6,34.36,28.94,26.24
O2,28.37,33.12,28.79,26.69
O20,28.19,32.35,29.15,26.58
O21,28.21,32.24,29.16,26.47
O22,28.1,32.49,28.88,26.26
O23,28.05,32.3,29.08,26.33
O24,26.8,33.36,29.27,26.68
O3,28.53,32.66,29.2,27.14
O4,28.96,33.86,29.18,26.82
O5,28.3,33.47,29.01,26.84
O6,28.14,33.14,29,26.49
O7,28.37,32.87,29.01,26.33
O8,28.1,33.02,28.86,26.58
O9,28.26,32.5,28.82,26.49
P1,28.65,32.58,29.17,26.63
P10,27.95,32.61,29.2,26.77
P11,27.9,32.36,29.19,26.62
P12,27.63,32.59,28.85,27.04
P13,28.62,31.34,28.78,26.66
P14,28.38,32.12,29.15,26.59
P15,28.3,32.51,29.2,26.44
P16,26.87,32.98,29.38,26.99
P17,28.28,31.84,29.54,26.62
P18,28.27,32.69,28.99,26.6
P19,27.68,32.98,28.87,26.45
P2,28.61,32.22,29.16,27.08
P20,28.05,32.29,29.11,27.03
P21,28.4,32.72,28.89,26.73
P22,28.26,32.94,29.03,26.7
P23,28.27,32.33,28.96,26.62
P24,28.02,31.95,29.37,27.01
P3,28.42,32.08,29.23,27.16
P4,28.63,32.5,29.45,26.9
P5,28.29,32.66,28.79,27.13
P6,28.41,32.66,29.13,26.87
P7,28.77,32.15,29.38,27.18
P8,28.2,32.56,28.95,26.89
P9,28.34,33.02,28.82,26.71
