Well,ct_sc2,ct_flua,ct_flub,ct_rsv
J11,31.33,29.54,No Ct,No Ct
J12,No Ct,28.34,No Ct,No Ct
J13,No Ct,No Ct,28.1,30.61
J14,No Ct,No Ct,No Ct,No Ct
J15,29.52,29.34,No Ct,No Ct
J16,26.77,No Ct,No Ct,No Ct
J17,No Ct,28.45,No Ct,No Ct
J18,31.71,31.54,29.53,No Ct
J19,No Ct,33.48,27.84,28.04
J2,No Ct,No Ct,No Ct,No Ct
J20,No Ct,No Ct,No Ct,No Ct
J21,No Ct,No Ct,27.3,No Ct
J22,No Ct,No Ct,No Ct,25.59
J23,31.29,29.69,No Ct,No Ct
J24,No Ct,28.84,No Ct,No Ct
J3,29.57,29.76,No Ct,No Ct
J4,27.14,No Ct,No Ct,No Ct
J5,No Ct,28.47,No Ct,No Ct
J6,31.71,32.1,29.73,No Ct
J7,No Ct,33.3,27.84,28.37
J8,No Ct,No Ct,No Ct,No Ct
J9,No Ct,No Ct,27.43,No Ct
K1,26.47,No Ct,No Ct,No Ct
K10,26.33,No Ct,27.84,No Ct
K11,29.37,No Ct,No Ct,27.4
K12,No Ct,No Ct,29.11,No Ct
K13,26.63,No Ct,No Ct,No Ct
K14,No Ct,No Ct,28.04,28.86
K15,27.02,28.92,30.13,34.36
K16,31.01,No Ct,No Ct,No Ct
K17,No Ct,30.76,No Ct,No Ct
K18,No Ct,No Ct,No Ct,No Ct
K19,No Ct,27.98,28.27,No Ct
K2,No Ct,No Ct,28.11,29.29
K20,No Ct,No Ct,27.62,25.43
K21,27.48,28.76,No Ct,30.12
K22,26.42,No Ct,27.79,No Ct
K23,29.28,No Ct,No Ct,28.21
K24,No Ct,No Ct,29.13,No Ct
K3,27.22,28.7,29.96,33.92
K4,31.13,No Ct,No Ct,No Ct
K5,No Ct,30.68,No Ct,No Ct
K6,No Ct,No Ct,No Ct,No Ct
K7,No Ct,27.95,28.05,No Ct
K8,No Ct,No Ct,27.15,25.04
K9,27.22,28.26,No Ct,30.23
L1,27.18,No Ct,29.66,No Ct
L10,No Ct,No Ct,27.63,29.24
L11,No Ct,No Ct,No Ct,No Ct
L12,27.32,30.08,29.09,25.49
L13,27.07,No Ct,29.6,No Ct
L14,29.24,36.58,No Ct,25.22
L15,No Ct,No Ct,27.68,No Ct
L16,No Ct,No Ct,No Ct,No Ct
L17,No Ct,No Ct,No Ct,No Ct
L18,31.3,No Ct,28.43,31.05
L19,27.34,29.01,28.42,No Ct
L2,29.6,35.94,No Ct,25.49
L20,No Ct,28.74,No Ct,27.79
L21,No Ct,29.53,No Ct,No Ct
L22,No Ct,No Ct,27.11,29.25
L23,No Ct,No Ct,No Ct,No Ct
L24,27.43,30.66,29.3,25.29
L3,No Ct,No Ct,27.5,No Ct
L4,No Ct,No Ct,No Ct,No Ct
L5,No Ct,No Ct,No Ct,No Ct
L6,32.38,No Ct,28.19,30.06
L7,27.67,29.4,28.58,No Ct
